store_id,merchant_id,server_id,store_type,open_month,close_month
M116-ST3,M116,S09,corporate,2024-10,
M116-ST4,M116,S09,pop-up,2024-01,
M117-ST1,M117,S07,corporate,2023-08,
M118-ST1,M118,S03,web,2023-06,
M118-ST2,M118,S03,campus,2024-06,
M119-ST1,M119,S10,web,2024-03,
M119-ST2,M119,S10,campus,2025-08,
M119-ST3,M119,S10,campus,2024-08,
M119-ST4,M119,S10,campus,2024-07,
M120-ST1,M120,S05,web,2024-02,
M120-ST2,M120,S05,web,2025-05,
M120-ST3,M120,S05,web,2025-02,
M121-ST1,M121,S03,campus,2024-06,
M121-ST2,M121,S03,web,2025-01,
M121-ST3,M121,S03,web,2024-10,2025-07
M122-ST1,M122,S06,campus,2024-11,2025-02
M122-ST2,M122,S06,web,2025-02,2025-02
M123-ST1,M123,S10,pop-up,2024-04,
M124-ST1,M124,S10,web,2024-04,
M124-ST2,M124,S10,campus,2024-12,
M125-ST1,M125,S10,campus,2024-04,2026-06
M125-ST2,M125,S10,pop-up,2025-06,2026-06
M125-ST3,M125,S10,campus,2025-02,
M126-ST1,M126,S01,web,2024-02,2024-12
M127-ST1,M127,S02,web,2024-01,
M127-ST2,M127,S02,campus,2025-06,
M127-ST3,M127,S02,pop-up,2024-05,
M127-ST4,M127,S02,campus,2024-09,
M128-ST1,M128,S03,web,2024-11,
M129-ST1,M129,S03,pop-up,2024-08,
M130-ST1,M130,S10,pop-up,2024-10,
M131-ST1,M131,S10,web,2025-06,
M132-ST1,M132,S10,pop-up,2025-03,
M132-ST2,M132,S10,web,2025-11,
M132-ST3,M132,S10,pop-up,2026-02,
M132-ST4,M132,S10,web,2025-03,
M133-ST1,M133,S05,corporate,2025-04,
M133-ST2,M133,S05,pop-up,2025-07,
M134-ST1,M134,S06,web,2025-10,
M134-ST2,M134,S06,corporate,2026-08,
M135-ST1,M135,S02,web,2025-11,
M136-ST1,M136,S02,web,2025-11,
M136-ST2,M136,S02,campus,2026-06,
M137-ST1,M137,S02,campus,2025-08,
M138-ST1,M138,S03,campus,2025-11,
M138-ST2,M138,S03,web,2026-09,
M138-ST3,M138,S03,pop-up,2026-06,
M138-ST4,M138,S03,web,2026-08,
M139-ST1,M139,S02,corporate,2026-02,
M139-ST2,M139,S02,web,2026-09,
M140-ST1,M140,S04,campus,2026-08,
M140-ST2,M140,S04,web,2026-08,
M140-ST3,M140,S04,campus,2026-09,
M140-ST4,M140,S04,web,2026-09,
M140-ST5,M140,S04,web,2026-09,
M140-ST6,M140,S04,corporate,2026-09,
M140-ST7,M140,S04,web,2026-09,
