merchant_id,server_id,segment,onboard_month,custom_share,vertical,churn_month
M093,S09,SMB,2022-07,0.08,sports club,2024-06
M094,S09,Enterprise,2022-10,0.326,school,2025-03
M095,S07,Mid,2023-06,0.282,creator,2025-07
M096,S09,SMB,2023-02,0.476,cafe,2025-02
M097,S08,Enterprise,2023-01,0.848,sports club,
M098,S03,SMB,2023-03,0.35,sports club,2026-04
M099,S05,SMB,2023-07,0.132,cafe,
M100,S07,SMB,2023-07,0.387,creator,2026-05
M101,S09,Enterprise,2023-02,0.637,creator,
M102,S02,Enterprise,2023-06,0.375,corporate gifting,
M103,S03,Mid,2023-11,0.662,school,2026-08
M104,S08,Mid,2023-12,0.21,school,
M105,S07,Enterprise,2023-10,0.233,creator,2026-03
M106,S07,SMB,2023-01,0.666,cafe,2025-11
M107,S07,Enterprise,2023-01,0.083,creator,2025-01
M108,S06,Mid,2023-06,0.231,school,
M109,S08,SMB,2023-05,0.498,corporate gifting,2026-02
M110,S05,SMB,2023-05,0.446,cafe,
M111,S08,SMB,2023-04,0.848,cafe,
M112,S02,SMB,2023-01,0.28,creator,
M113,S07,Enterprise,2023-07,0.05,nonprofit,
M114,S05,Mid,2023-09,0.471,school,
M115,S09,SMB,2023-11,0.535,creator,
M116,S09,Enterprise,2023-11,0.391,cafe,
M117,S07,SMB,2023-08,0.395,school,2024-05
M118,S03,Mid,2023-06,0.583,cafe,
M119,S10,Mid,2024-03,0.423,creator,
M120,S05,Mid,2024-02,0.248,cafe,
M121,S03,Mid,2024-06,0.101,corporate gifting,
M122,S06,Mid,2024-11,0.268,cafe,2025-02
M123,S10,SMB,2024-04,0.418,cafe,
M124,S10,Mid,2024-04,0.402,corporate gifting,
M125,S10,Mid,2024-04,0.523,creator,2026-06
M126,S01,SMB,2024-02,0.38,creator,2024-12
M127,S02,Mid,2024-01,0.194,cafe,
M128,S03,Mid,2024-11,0.191,creator,2025-02
M129,S03,SMB,2024-08,0.334,school,
M130,S10,SMB,2024-10,0.268,nonprofit,
M131,S10,SMB,2025-06,0.584,corporate gifting,
M132,S10,Mid,2025-03,0.499,creator,
M133,S05,Mid,2025-04,0.207,school,
M134,S06,Mid,2025-10,0.726,corporate gifting,
M135,S02,SMB,2025-11,0.449,corporate gifting,
M136,S02,Mid,2025-11,0.81,creator,
M137,S02,SMB,2025-08,0.097,corporate gifting,
M138,S03,Mid,2025-11,0.478,corporate gifting,
M139,S02,Mid,2026-02,0.487,school,
M140,S04,Enterprise,2026-08,0.572,corporate gifting,
