sku_id,owner,merchant_id,category,product_line,list_price,unit_cost
M018-STI-01,merchant,M018,Stationery,Sticker pack,8.4,3.33
M018-POS-02,merchant,M018,Home,Poster,28.61,10.74
M018-T-S-03,merchant,M018,Apparel,T-shirt,32.55,16.94
M018-HOO-04,merchant,M018,Apparel,Hoodie,63.7,34.25
M018-PEN-05,merchant,M018,Stationery,Pen set,10.99,5.18
M018-CUS-06,merchant,M018,Home,Cushion,46.06,25.96
M019-TUM-01,merchant,M019,Drinkware,Tumbler,37.11,20.62
M019-NOT-02,merchant,M019,Stationery,Notebook,15.29,7.02
M019-HOO-03,merchant,M019,Apparel,Hoodie,78.66,42.23
M019-PEN-04,merchant,M019,Stationery,Pen set,13.81,5.71
M019-NOT-05,merchant,M019,Stationery,Notebook,19.08,9.93
M019-HOO-06,merchant,M019,Apparel,Hoodie,73.77,38.25
M019-BOT-07,merchant,M019,Drinkware,Bottle,31.23,16.26
M019-TUM-08,merchant,M019,Drinkware,Tumbler,32.96,18.38
M019-POU-09,merchant,M019,Bags,Pouch,13.14,5.78
M019-HOO-10,merchant,M019,Apparel,Hoodie,72.11,39.18
M020-T-S-01,merchant,M020,Apparel,T-shirt,37.43,19.64
M020-BLA-02,merchant,M020,Home,Blanket,68.83,37.82
M021-TOT-01,merchant,M021,Bags,Tote,28.96,14.25
M021-CUS-02,merchant,M021,Home,Cushion,45.57,25.42
M021-T-S-03,merchant,M021,Apparel,T-shirt,33.9,17.72
M021-BOT-04,merchant,M021,Drinkware,Bottle,34.97,17.79
M021-STI-05,merchant,M021,Stationery,Sticker pack,7.97,2.91
M021-BOT-06,merchant,M021,Drinkware,Bottle,28.81,14.19
M021-TUM-07,merchant,M021,Drinkware,Tumbler,37.04,18.93
M022-BOT-01,merchant,M022,Drinkware,Bottle,30.3,15.56
M022-CUS-02,merchant,M022,Home,Cushion,44.74,23.49
M022-POS-03,merchant,M022,Home,Poster,26.37,11.5
M022-HOO-04,merchant,M022,Apparel,Hoodie,73.41,38.93
M022-POS-05,merchant,M022,Home,Poster,28.0,11.05
M023-TUM-01,merchant,M023,Drinkware,Tumbler,36.98,18.14
M023-STI-02,merchant,M023,Stationery,Sticker pack,8.99,3.3
M023-HOO-03,merchant,M023,Apparel,Hoodie,69.73,36.18
M023-POU-04,merchant,M023,Bags,Pouch,13.48,6.32
M024-HOO-01,merchant,M024,Apparel,Hoodie,82.48,43.58
M024-HOO-02,merchant,M024,Apparel,Hoodie,81.71,44.18
M024-NOT-03,merchant,M024,Stationery,Notebook,16.9,8.03
M024-T-S-04,merchant,M024,Apparel,T-shirt,27.76,13.67
M024-POS-05,merchant,M024,Home,Poster,29.7,12.49
M025-CUS-01,merchant,M025,Home,Cushion,43.09,22.2
M025-BAC-02,merchant,M025,Bags,Backpack,90.89,47.76
M025-BAC-03,merchant,M025,Bags,Backpack,91.47,52.26
M025-MUG-04,merchant,M025,Drinkware,Mug,17.79,8.78
M025-CUS-05,merchant,M025,Home,Cushion,40.14,22.94
M026-MUG-01,merchant,M026,Drinkware,Mug,18.72,8.15
M026-HOO-02,merchant,M026,Apparel,Hoodie,61.79,34.16
M026-NOT-03,merchant,M026,Stationery,Notebook,15.71,7.52
M026-STI-04,merchant,M026,Stationery,Sticker pack,7.02,2.49
M026-POS-05,merchant,M026,Home,Poster,29.13,12.05
M026-PEN-06,merchant,M026,Stationery,Pen set,12.12,5.5
M026-CAP-07,merchant,M026,Apparel,Cap,24.75,13.31
M026-MUG-08,merchant,M026,Drinkware,Mug,19.47,8.86
M026-POU-09,merchant,M026,Bags,Pouch,12.96,5.66
M027-HOO-01,merchant,M027,Apparel,Hoodie,64.71,36.59
M027-HOO-02,merchant,M027,Apparel,Hoodie,81.48,46.91
M027-HOO-03,merchant,M027,Apparel,Hoodie,73.88,37.46
M027-NOT-04,merchant,M027,Stationery,Notebook,16.65,7.72
M027-BOT-05,merchant,M027,Drinkware,Bottle,28.44,14.55
M027-CUS-06,merchant,M027,Home,Cushion,44.56,23.52
M027-TOT-07,merchant,M027,Bags,Tote,30.29,15.16
M027-NOT-08,merchant,M027,Stationery,Notebook,17.06,7.95
M027-BLA-09,merchant,M027,Home,Blanket,86.01,47.55
M027-TOT-10,merchant,M027,Bags,Tote,24.84,11.86
M028-BAC-01,merchant,M028,Bags,Backpack,96.75,55.48
M028-T-S-02,merchant,M028,Apparel,T-shirt,30.21,15.19
M028-POU-03,merchant,M028,Bags,Pouch,15.49,6.7
M028-POS-04,merchant,M028,Home,Poster,29.36,11.23
M028-CUS-05,merchant,M028,Home,Cushion,42.11,24.47
M028-BAC-06,merchant,M028,Bags,Backpack,91.06,51.03
M028-TUM-07,merchant,M028,Drinkware,Tumbler,39.11,20.05
M028-POU-08,merchant,M028,Bags,Pouch,16.48,7.09
M029-BOT-01,merchant,M029,Drinkware,Bottle,31.01,16.07
M029-POS-02,merchant,M029,Home,Poster,28.08,11.69
M029-HOO-03,merchant,M029,Apparel,Hoodie,63.85,34.02
M029-TOT-04,merchant,M029,Bags,Tote,28.46,14.27
M029-PEN-05,merchant,M029,Stationery,Pen set,11.36,4.54
M029-TUM-06,merchant,M029,Drinkware,Tumbler,32.54,16.12
M029-PEN-07,merchant,M029,Stationery,Pen set,11.15,4.62
M029-T-S-08,merchant,M029,Apparel,T-shirt,38.06,18.43
M029-POS-09,merchant,M029,Home,Poster,25.47,10.07
M029-POU-10,merchant,M029,Bags,Pouch,15.76,6.96
M029-TUM-11,merchant,M029,Drinkware,Tumbler,32.89,18.35
M029-PEN-12,merchant,M029,Stationery,Pen set,10.87,5.02
M029-T-S-13,merchant,M029,Apparel,T-shirt,37.4,19.39
M029-BLA-14,merchant,M029,Home,Blanket,88.58,49.06
M030-BLA-01,merchant,M030,Home,Blanket,80.49,48.24
M030-BAC-02,merchant,M030,Bags,Backpack,71.45,38.91
M030-POU-03,merchant,M030,Bags,Pouch,13.85,5.66
M030-STI-04,merchant,M030,Stationery,Sticker pack,6.97,2.91
M030-BOT-05,merchant,M030,Drinkware,Bottle,30.78,14.52
M030-STI-06,merchant,M030,Stationery,Sticker pack,7.81,2.9
M030-POU-07,merchant,M030,Bags,Pouch,13.15,5.89
M030-TUM-08,merchant,M030,Drinkware,Tumbler,35.36,18.08
M030-PEN-09,merchant,M030,Stationery,Pen set,13.99,6.78
M030-CUS-10,merchant,M030,Home,Cushion,37.33,21.54
M030-MUG-11,merchant,M030,Drinkware,Mug,18.37,8.44
M031-NOT-01,merchant,M031,Stationery,Notebook,18.99,8.38
M031-MUG-02,merchant,M031,Drinkware,Mug,19.83,9.61
M031-NOT-03,merchant,M031,Stationery,Notebook,15.38,6.77
M031-STI-04,merchant,M031,Stationery,Sticker pack,7.5,2.87
M031-POU-05,merchant,M031,Bags,Pouch,13.27,6.11
M031-NOT-06,merchant,M031,Stationery,Notebook,18.43,9.4
M032-HOO-01,merchant,M032,Apparel,Hoodie,61.25,33.63
M032-TUM-02,merchant,M032,Drinkware,Tumbler,42.41,21.34
M032-STI-03,merchant,M032,Stationery,Sticker pack,8.05,2.81
M033-POU-01,merchant,M033,Bags,Pouch,17.57,8.5
M033-TUM-02,merchant,M033,Drinkware,Tumbler,42.39,20.94
M033-POU-03,merchant,M033,Bags,Pouch,16.58,7.89
M033-POU-04,merchant,M033,Bags,Pouch,16.4,7.03
M033-CUS-05,merchant,M033,Home,Cushion,38.17,21.87
M033-POU-06,merchant,M033,Bags,Pouch,15.03,6.67
M034-TUM-01,merchant,M034,Drinkware,Tumbler,40.72,21.91
M034-CUS-02,merchant,M034,Home,Cushion,39.03,22.21
M034-STI-03,merchant,M034,Stationery,Sticker pack,6.93,2.68
M034-TOT-04,merchant,M034,Bags,Tote,26.74,14.06
M034-MUG-05,merchant,M034,Drinkware,Mug,19.08,9.7
M034-POU-06,merchant,M034,Bags,Pouch,15.46,7.18
M034-CUS-07,merchant,M034,Home,Cushion,36.49,18.87
M034-PEN-08,merchant,M034,Stationery,Pen set,13.1,5.73
M034-PEN-09,merchant,M034,Stationery,Pen set,13.62,5.51
M034-PEN-10,merchant,M034,Stationery,Pen set,13.14,6.1
M034-BOT-11,merchant,M034,Drinkware,Bottle,31.75,16.44
M034-CUS-12,merchant,M034,Home,Cushion,47.4,24.81
M034-T-S-13,merchant,M034,Apparel,T-shirt,30.74,14.81
M034-BAC-14,merchant,M034,Bags,Backpack,84.1,45.02
M034-TUM-15,merchant,M034,Drinkware,Tumbler,36.04,18.88
M035-TUM-01,merchant,M035,Drinkware,Tumbler,34.17,17.97
M035-POS-02,merchant,M035,Home,Poster,29.42,11.63
M035-NOT-03,merchant,M035,Stationery,Notebook,18.4,8.49
M035-HOO-04,merchant,M035,Apparel,Hoodie,67.74,35.26
M035-BOT-05,merchant,M035,Drinkware,Bottle,31.25,15.79
M035-POS-06,merchant,M035,Home,Poster,29.61,11.06
M036-CUS-01,merchant,M036,Home,Cushion,41.72,24.38
M036-CAP-02,merchant,M036,Apparel,Cap,24.78,12.3
M036-CAP-03,merchant,M036,Apparel,Cap,25.96,13.27
M036-BLA-04,merchant,M036,Home,Blanket,66.85,39.87
M036-BAC-05,merchant,M036,Bags,Backpack,97.03,55.53
M036-POU-06,merchant,M036,Bags,Pouch,13.93,6.35
M036-BOT-07,merchant,M036,Drinkware,Bottle,28.83,15.68
M036-POS-08,merchant,M036,Home,Poster,26.63,11.78
M036-CUS-09,merchant,M036,Home,Cushion,36.7,19.77
M036-TUM-10,merchant,M036,Drinkware,Tumbler,38.84,20.88
M036-POS-11,merchant,M036,Home,Poster,27.43,10.77
M036-PEN-12,merchant,M036,Stationery,Pen set,14.22,6.73
M036-NOT-13,merchant,M036,Stationery,Notebook,17.61,8.17
M037-BAC-01,merchant,M037,Bags,Backpack,98.7,54.53
M037-POU-02,merchant,M037,Bags,Pouch,15.34,7.52
M038-NOT-01,merchant,M038,Stationery,Notebook,16.58,7.56
M038-POU-02,merchant,M038,Bags,Pouch,15.63,6.6
M038-CUS-03,merchant,M038,Home,Cushion,35.42,18.99
M038-BAC-04,merchant,M038,Bags,Backpack,78.98,45.92
M038-POS-05,merchant,M038,Home,Poster,24.92,11.16
M038-CAP-06,merchant,M038,Apparel,Cap,21.8,10.62
M038-STI-07,merchant,M038,Stationery,Sticker pack,7.18,3.0
M039-CUS-01,merchant,M039,Home,Cushion,42.68,22.61
M039-BOT-02,merchant,M039,Drinkware,Bottle,28.91,14.46
M039-TOT-03,merchant,M039,Bags,Tote,29.09,14.09
M039-STI-04,merchant,M039,Stationery,Sticker pack,7.68,2.68
M039-POS-05,merchant,M039,Home,Poster,27.19,10.19
M040-TOT-01,merchant,M040,Bags,Tote,29.41,13.63
M040-BAC-02,merchant,M040,Bags,Backpack,71.93,39.96
M040-PEN-03,merchant,M040,Stationery,Pen set,10.57,4.82
M040-TUM-04,merchant,M040,Drinkware,Tumbler,43.7,23.2
M040-CUS-05,merchant,M040,Home,Cushion,46.11,23.97
M040-BOT-06,merchant,M040,Drinkware,Bottle,27.67,13.66
M040-T-S-07,merchant,M040,Apparel,T-shirt,35.77,18.9
M040-BOT-08,merchant,M040,Drinkware,Bottle,31.36,15.4
M040-CUS-09,merchant,M040,Home,Cushion,44.2,25.63
M040-POS-10,merchant,M040,Home,Poster,24.19,9.19
M040-CAP-11,merchant,M040,Apparel,Cap,28.1,13.38
M040-POU-12,merchant,M040,Bags,Pouch,15.49,7.4
M040-HOO-13,merchant,M040,Apparel,Hoodie,68.42,38.12
M041-T-S-01,merchant,M041,Apparel,T-shirt,36.1,19.81
M041-HOO-02,merchant,M041,Apparel,Hoodie,69.03,37.85
M041-PEN-03,merchant,M041,Stationery,Pen set,11.98,5.14
M041-TUM-04,merchant,M041,Drinkware,Tumbler,36.12,19.69
M041-TOT-05,merchant,M041,Bags,Tote,30.15,14.88
M041-BAC-06,merchant,M041,Bags,Backpack,80.42,47.6
M041-POS-07,merchant,M041,Home,Poster,26.54,10.09
M041-T-S-08,merchant,M041,Apparel,T-shirt,35.49,18.87
M041-CAP-09,merchant,M041,Apparel,Cap,24.17,12.52
M041-POU-10,merchant,M041,Bags,Pouch,14.76,7.02
M041-HOO-11,merchant,M041,Apparel,Hoodie,68.25,36.06
M041-BAC-12,merchant,M041,Bags,Backpack,82.15,43.68
M041-CAP-13,merchant,M041,Apparel,Cap,24.65,13.05
M042-CUS-01,merchant,M042,Home,Cushion,38.07,21.95
M042-HOO-02,merchant,M042,Apparel,Hoodie,63.49,32.17
M042-T-S-03,merchant,M042,Apparel,T-shirt,33.81,17.61
M042-BAC-04,merchant,M042,Bags,Backpack,91.06,53.29
M042-BOT-05,merchant,M042,Drinkware,Bottle,28.03,13.95
M042-PEN-06,merchant,M042,Stationery,Pen set,13.47,5.45
M042-STI-07,merchant,M042,Stationery,Sticker pack,9.12,3.66
M042-CAP-08,merchant,M042,Apparel,Cap,22.07,10.53
M043-HOO-01,merchant,M043,Apparel,Hoodie,72.35,37.35
M043-TUM-02,merchant,M043,Drinkware,Tumbler,34.04,18.8
M043-PEN-03,merchant,M043,Stationery,Pen set,14.23,6.36
M043-NOT-04,merchant,M043,Stationery,Notebook,15.72,7.7
M043-BOT-05,merchant,M043,Drinkware,Bottle,34.66,18.86
M043-STI-06,merchant,M043,Stationery,Sticker pack,9.03,3.3
M043-HOO-07,merchant,M043,Apparel,Hoodie,62.81,36.07
M043-STI-08,merchant,M043,Stationery,Sticker pack,7.6,3.18
M044-MUG-01,merchant,M044,Drinkware,Mug,23.02,10.04
M044-NOT-02,merchant,M044,Stationery,Notebook,15.52,6.8
M044-BOT-03,merchant,M044,Drinkware,Bottle,32.92,16.69
M044-BOT-04,merchant,M044,Drinkware,Bottle,28.48,14.49
M044-MUG-05,merchant,M044,Drinkware,Mug,20.91,10.69
M044-T-S-06,merchant,M044,Apparel,T-shirt,33.82,17.35
M044-POU-07,merchant,M044,Bags,Pouch,13.7,5.85
M044-TUM-08,merchant,M044,Drinkware,Tumbler,33.4,17.12
M044-BLA-09,merchant,M044,Home,Blanket,83.88,45.88
M045-HOO-01,merchant,M045,Apparel,Hoodie,71.42,37.26
M045-TUM-02,merchant,M045,Drinkware,Tumbler,34.55,16.66
M045-PEN-03,merchant,M045,Stationery,Pen set,12.78,5.13
M045-CAP-04,merchant,M045,Apparel,Cap,27.44,13.4
M045-BLA-05,merchant,M045,Home,Blanket,70.2,42.38
M046-POS-01,merchant,M046,Home,Poster,30.37,12.15
M046-BLA-02,merchant,M046,Home,Blanket,67.96,38.02
